"GenesetID"	"GenesetName"	"ElementSize"	"EntrezID"
"M10183"	"BIOCARTA_RELA_PATHWAY"	16	"8517,1147,2033,5970,7124,3551,7133,8841,7132,7189,8772,1387,8737,4790,4792,8717"
"M4383"	"BIOCARTA_NO1_PATHWAY"	33	"5140,805,58,124827,801,5577,3827,6262,1128,7422,3320,6541,5139,5138,624,147908,121916,4846,1134,2321,3791,5567,7135,5568,2324,857,207,5573,5576,5575,808,5592,5593"
"M6327"	"BIOCARTA_CSK_PATHWAY"	24	"7535,1445,920,5577,5567,915,5568,916,917,2778,2792,6957,2782,6955,5573,5576,919,1387,5575,107,3932,5788,3123,3122"
"M10994"	"BIOCARTA_SRCRPTP_PATHWAY"	11	"1445,6714,994,995,5579,2885,993,5578,891,5786,983"
"M15394"	"BIOCARTA_AMI_PATHWAY"	20	"2159,7035,2147,1282,2149,1284,1285,1286,5627,2266,5624,2243,5340,462,2244,5327,1288,51327,1287,2155"
"M5467"	"BIOCARTA_GRANULOCYTES_PATHWAY"	14	"5175,7124,3552,3683,3684,3383,6402,6403,3458,6404,727,3689,1440,3576"
"M1469"	"BIOCARTA_LYM_PATHWAY"	11	"6402,7412,3676,3688,3689,5175,3552,3683,947,3576,3383"
"M2482"	"BIOCARTA_ARAP_PATHWAY"	18	"8853,9265,9266,9267,55738,26286,1314,1313,27128,11015,8729,10945,375,10564,1212,11014,10565,2822"
"M6220"	"BIOCARTA_AGR_PATHWAY"	36	"3725,5599,5063,58,1956,3084,5913,1605,1128,5062,3909,3908,10298,7402,5829,10718,57144,1756,2017,6714,5747,3672,1134,5058,6667,9815,1855,9542,4593,3688,5595,3910,5879,56924,998,5594"
"M5731"	"BIOCARTA_AKAP95_PATHWAY"	12	"5571,5515,5576,5499,5577,1655,5567,5568,891,10270,9918,983"
"M15258"	"BIOCARTA_AKT_PATHWAY"	22	"842,8517,4303,1147,2308,2309,5970,5170,2690,3551,207,5290,2688,5515,356,3320,7533,572,4790,5294,5295,4792"
"M17400"	"BIOCARTA_ALK_PATHWAY"	37	"4208,7471,4879,4878,9241,2932,2626,1499,7042,8646,6927,4633,7040,8321,1386,4090,7049,7048,7046,1482,7043,4091,659,657,90,5981,652,324,650,6885,655,1855,653,27302,8312,4089,4086"
"M14899"	"BIOCARTA_AT1R_PATHWAY"	36	"3725,4208,4209,3265,805,5599,4207,5894,124827,5579,4205,6464,1956,2002,5578,801,6416,1386,147908,121916,6714,5747,5605,4214,5604,2776,5058,183,2885,185,5595,808,2185,5879,6654,5594"
"M12950"	"BIOCARTA_ACE2_PATHWAY"	13	"59272,1282,1284,5972,1285,1286,1215,183,185,1636,186,1288,1287"
"M7298"	"BIOCARTA_ASBCELL_PATHWAY"	12	"959,958,920,355,941,356,940,3565,3586,3123,3122,3558"
"M7239"	"BIOCARTA_DNAFRAGMENT_PATHWAY"	10	"1676,1677,840,3148,3146,3002,7155,2021,7153,836"
"M3873"	"BIOCARTA_CHEMICAL_PATHWAY"	22	"842,5747,596,840,637,5579,598,6772,5578,317,581,1965,839,207,7157,836,54205,472,7094,572,5829,142"
"M8731"	"BIOCARTA_SPPA_PATHWAY"	22	"6714,3265,5747,2147,3672,23236,5894,5579,2149,5321,5578,5742,5604,2770,2792,3688,2782,6850,6916,9002,5595,5594"
"M10628"	"BIOCARTA_ATM_PATHWAY"	20	"3725,11200,5599,4361,672,4683,5970,1111,4193,25,1026,7157,1647,472,5888,7161,10111,4790,4792,5932"
"M19829"	"BIOCARTA_AGPCR_PATHWAY"	13	"5579,5578,5577,5567,5568,2778,408,2792,2782,5573,5576,5575,2868"
"M4835"	"BIOCARTA_BCELLSURVIVAL_PATHWAY"	16	"840,3672,332,331,207,836,3727,2475,10575,5977,5290,3688,51341,2353,5294,5295"
"M1473"	"BIOCARTA_BLYMPHOCYTE_PATHWAY"	11	"958,941,3689,1378,3683,5788,3123,1380,3122,3383,2213"
"M9494"	"BIOCARTA_BCR_PATHWAY"	37	"3725,3265,805,5599,4776,5894,124827,1432,5579,6464,2002,5578,801,4775,5533,6850,147908,121916,695,29760,4214,5604,7409,973,5532,974,5530,5335,2885,5595,808,4773,2353,4772,4067,5879,6654"
"M13494"	"BIOCARTA_BIOPEPTIDES_PATHWAY"	45	"3265,2147,805,5599,6774,5894,124827,6775,5579,1432,6772,6464,5578,6773,801,3827,2767,2770,2792,4638,147908,121916,5605,815,4137,816,817,5604,818,3717,1020,2782,5335,183,2885,186,6777,5595,6776,2534,808,2185,6778,6654,5594"
"M4557"	"BIOCARTA_NEUROTRANSMITTERS_PATHWAY"	6	"2571,7054,3067,1621,5409,7166"
"M2602"	"BIOCARTA_RANKL_PATHWAY"	14	"5599,2355,5970,10379,5610,8061,7189,3456,8792,3454,3455,4790,2353,8600"
"M3412"	"BIOCARTA_CACAM_PATHWAY"	16	"57172,814,805,815,124827,816,817,818,801,1385,808,8536,84254,10645,147908,121916"
"M4388"	"BIOCARTA_CDMAC_PATHWAY"	16	"3725,3265,23236,5894,5579,5578,5970,5604,7124,50624,5595,4790,2353,4792,4609,5594"
"M2499"	"BIOCARTA_CARM_ER_PATHWAY"	35	"4208,27043,10891,2033,2071,2099,8841,190,8204,55869,10014,23013,79885,10011,23426,6908,1387,10013,2957,595,51564,9612,126961,672,9734,9759,5469,10498,2962,2960,3065,5430,3066,11331,83933"
"M17902"	"BIOCARTA_CASPASE_PATHWAY"	23	"843,842,841,840,329,317,837,330,331,839,834,4000,836,4001,835,5551,1676,54205,1677,3002,397,84823,142"
"M16973"	"BIOCARTA_CBL_PATHWAY"	13	"1436,6714,5156,5579,1956,5578,51100,867,1950,30011,2885,4233,56904"
"M9152"	"BIOCARTA_CCR3_PATHWAY"	23	"27035,3265,5747,4660,23236,5894,5579,5578,5604,2776,2778,1072,1232,3984,4633,2792,2782,387,6356,5595,5288,9475,5594"
"M16697"	"BIOCARTA_CD40_PATHWAY"	15	"959,958,8517,1147,8518,4214,5970,3551,1843,7189,7187,7128,9020,4790,4792"
"M6682"	"BIOCARTA_MCM_PATHWAY"	18	"23594,4173,4172,4175,81620,4174,4176,1017,1027,4171,4998,4999,5000,4254,5001,990,898,23595"
"M648"	"BIOCARTA_G1_PATHWAY"	28	"1869,7027,2932,1029,1027,1026,983,7042,8900,1030,7040,7043,595,1017,1019,25,5925,6502,7157,1021,1719,993,472,545,3065,4088,4089,898"
"M8560"	"BIOCARTA_G2_PATHWAY"	24	"10971,4661,11200,2033,672,1111,7465,4193,1026,7157,983,1032,997,994,995,1647,993,5347,545,472,7533,891,5591,6195"
"M12851"	"BIOCARTA_CELL2CELL_PATHWAY"	14	"1445,5747,6714,5175,7414,9564,1496,1499,29119,87,1495,5829,88,89"
"M3952"	"BIOCARTA_LAIR_PATHWAY"	17	"7124,3827,3552,3683,3383,7412,6403,729,3676,6404,3688,718,727,3689,730,3569,3576"
"M19943"	"BIOCARTA_CERAMIDE_PATHWAY"	22	"841,8439,596,5599,5894,4214,5970,581,5604,7132,6416,6609,54205,7186,8772,8737,5595,572,4790,8717,9131,5594"
"M9546"	"BIOCARTA_TID_PATHWAY"	19	"3303,5970,7124,3551,5925,7133,9093,3460,7490,7157,7132,3717,30851,10083,8825,3458,3459,4790,4792"
"M7146"	"BIOCARTA_CLASSIC_PATHWAY"	14	"735,717,716,729,718,727,713,712,715,714,721,720,731,730"
"M917"	"BIOCARTA_COMP_PATHWAY"	19	"5648,735,717,716,729,718,727,713,1675,712,715,714,4153,721,720,10747,731,730,629"
"M13404"	"BIOCARTA_VDR_PATHWAY"	12	"10499,10498,8648,9611,8850,2033,1387,7249,3065,6256,8202,5469"
