"GenesetID"	"GenesetName"	"Species"	"ElementSize"	"EntrezID"
"C000154"	"alpinumisoflavone"	"Homo sapiens"	14	"581,596,637,836,842,1147,54205,355,3091,142,5970,6774,6776,6778"
"C000188"	"alachlor"	"Homo sapiens"	10	"5243,43,367,596,1555,1576,2099,4780,8856,5241"
"C000228"	"aristolochic acid I"	"Homo sapiens"	22	"59,655,836,999,1543,1544,1649,1965,2034,26585,3309,5594,5595,5447,55867,9356,9376,4086,4090,4093,7422,7494"
"C000499"	"ferric oxide"	"Homo sapiens"	8	"581,836,847,3576,2936,3014,3383,142"
"C000516"	"2-(2-cresyl)-4H-1-3-2-benzodioxaphosphorin-2-oxide"	"Homo sapiens"	5	"43,213,327,590,10908"
"C000541"	"cyclopamine"	"Homo sapiens"	13	"367,847,898,1735,2735,3489,354,4851,9971,5727,6469,6608,7350"
"C000588582"	"3-methoxy-6-(((2,4,6-trimethoxystyryl)sulfonyl)methyl)pyridin-2-amine"	"Homo sapiens"	5	"836,840,995,4170,142"
"C000588809"	"paederosidic acid"	"Homo sapiens"	8	"207,581,596,637,836,841,842,5599"
"C000588914"	"WJ1376-1"	"Homo sapiens"	8	"207,999,4318,4087,6615,7040,7046,7431"
"C000588915"	"WJ1398-1"	"Homo sapiens"	8	"207,999,4318,4087,6615,7040,7046,7431"
"C000588918"	"ziyuglycoside II"	"Homo sapiens"	11	"581,596,637,841,891,995,983,1026,355,356,5599"
"C000588958"	"5-(N-(4-((4-ethylbenzyl)thio)phenyl)sulfamoyl)-2-methylbenzoic acid"	"Homo sapiens"	8	"1555,1557,1558,1559,9376,10599,28234,11309"
"C000589248"	"LL-202"	"Homo sapiens"	11	"581,596,637,842,891,902,995,983,1022,1026,142"
"C000591165"	"BO-1012"	"Homo sapiens"	6	"10533,842,1111,11200,3014,142"
"C000591222"	"gardenin B"	"Homo sapiens"	6	"596,835,836,841,842,142"
"C000591541"	"1-cyclopropyl-4-(4-((5-methyl-3-(3-(4-(trifluoromethoxy)phenyl)-1,2,4-oxadiazol-5-yl)-1H-pyrazol-1-yl)methyl)pyridin-2-yl)piperazine"	"Homo sapiens"	34	"133,51129,353322,79369,79365,768,9249,1942,1944,54583,112399,2026,2034,729830,1112,115330,3091,29923,51141,79625,51299,5154,5210,123,5493,5526,58528,10252,8614,255394,55076,55321,11045,7428"
"C000591546"	"NKCT1 protein, Naja kaouthia"	"Homo sapiens"	7	"207,595,1019,1026,5594,5595,5970"
"C000591600"	"tetrachlorobenzoquinone"	"Homo sapiens"	23	"571,578,581,596,834,836,3014,3162,3383,3553,9817,5599,5601,4780,114548,1728,29108,5888,6401,8878,7157,7412,7514"
"C000592878"	"UMI-77"	"Homo sapiens"	6	"578,581,332,836,56616,4170"
"C000593130"	"eupatorin-5-methyl ether"	"Homo sapiens"	5	"196,595,1026,1543,1545"
"C000593591"	"coagulin-L"	"Homo sapiens"	19	"6356,6347,6348,6351,6352,1437,3627,3576,4283,3458,3586,3593,3596,3600,3553,3557,3569,3574,7124"
"C000593866"	"4-((4-hydroxyphenylimino)methylbenzene-1,2-diol"	"Homo sapiens"	6	"595,1026,2099,2100,4609,7157"
"C000593977"	"STF-118804"	"Homo sapiens"	5	"672,2309,10135,83667,51548"
"C000594117"	"ON123300"	"Homo sapiens"	31	"207,317,842,595,898,993,1019,1026,1028,1029,1385,1978,8772,2247,2308,5594,6300,5595,2475,4609,9891,142,5155,5728,5894,5925,5934,5970,6194,6198,23411"
"C000594496"	"hugan qingzhi"	"Homo sapiens"	5	"51,9370,1374,5465,6720"
"C000595192"	"BP-1-102"	"Homo sapiens"	9	"596,598,332,595,3569,4170,4609,4843,6774"
"C000595569"	"N-(2-methoxy-5-((2,4,6-trimethoxystyrylsulfonyl)methyl)pyridin-3-yl)methanesulfonamide"	"Homo sapiens"	12	"207,598,637,836,840,891,595,995,3014,4170,142,5170"
"C000596027"	"baricitinib"	"Homo sapiens"	7	"6347,3716,3717,3718,5008,6288,6289"
"C000598690"	"N-ethyl-1,2-diphenylethylamine"	"Homo sapiens"	5	"1544,1555,1557,1565,1576"
"C000598873"	"CIGB-552 peptide"	"Homo sapiens"	6	"581,596,836,150684,142,5970"
"C000599091"	"fumosorinone"	"Homo sapiens"	7	"2932,3630,3643,8660,5594,5595,5770"
"C000599179"	"28-O-acetylbetulin-3-ylglucopyranoside"	"Homo sapiens"	12	"207,10533,8678,637,836,841,842,1508,1522,1978,6194,8878"
"C000601052"	"(6,7-dimethoxyquinolin-4-yl)(5-methoxy-2,2-dimethyl-2H-chromen-6-yl)methyl acetate"	"Homo sapiens"	5	"836,2064,3091,3481,5175"
"C000602001"	"4-(3,5-dimethoxystyryl)phenyl acetate"	"Homo sapiens"	17	"598,332,836,841,842,891,595,1950,3316,5594,5595,4170,2475,142,6714,6772,6774"
"C000602510"	"VER-246608"	"Homo sapiens"	5	"5160,5163,5164,5165,5166"
"C000602704"	"UF010 compound"	"Homo sapiens"	18	"27113,595,1017,1019,1026,1029,1869,1870,1871,8970,4691,4869,5195,5763,5925,5933,5934,7157"
"C000603500"	"4'-methoxy-1-naphthylfenoterol"	"Homo sapiens"	9	"5243,4363,10057,9429,595,1499,1956,9290,5315"
"C000603962"	"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one"	"Homo sapiens"	11	"581,836,3576,3146,3383,3553,3569,23643,5743,7099,7412"
"C000604982"	"TPD7 compound"	"Homo sapiens"	5	"7852,5594,5595,4313,4318"
