"ChemicalID"	"ChemicalName"	Mus musculus	1	"GeneID",
"C112297"	"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone"	Mus musculus	2	3785,2353,
"C403065"	"10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide"	Mus musculus	7	22041,291,30237,590,506,213,43,
"C521487"	"10-nitro-oleic acid"	Mus musculus	7	5743,4318,3315,3162,2941,2940,857,
"C418863"	"10-propargyl-10-deazaaminopterin"	Mus musculus	1	836,
"C025205"	"1,10-phenanthroline"	Mus musculus	6	7422,22059,5328,4318,3091,1543,
"C066049"	"11,12,15-trihydroxyeicosatrienoic acid"	Mus musculus	1	246,
"C410128"	"11,12-dihydroxyeicosatrienoic acid"	Mus musculus	1	2053,
"C046783"	"11,12-epoxy-5,8,14-eicosatrienoic acid"	Mus musculus	4	5595,5594,2053,226143,
"C051283"	"11,14,15-trihydroxyeicosa-5,8,12-trienoic acid"	Mus musculus	1	246,
"C527346"	"11,15-dioxo-9-hydroxy-2,3,4,5-tetranorprostan-1,20-dioic acid"	Mus musculus	3	5742,5730,27306,
"C495657"	"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane"	Mus musculus	6	2099,53973,1588,1586,1583,196,
"C024566"	"1,1,1-trichloroethane"	Mus musculus	66	387032,66107,55093,23339,64601,627110,286144,79201,8764,79838,127833,10963,26039,6760,6717,254122,2030,51714,10807,6101,5971,5878,9727,644139,56093,4988,81832,80762,23787,4351,4338,148932,4327,92667,619373,78999,5641,9079,83999,347240,169522,150084,3359,15452,3162,2768,2707,2674,54815,339896,53822,91010,120114,5394,2115,27963,51901,27490,2921,1362,55783,9793,85365,283383,100420505,26154,
"C006718"	"1,12-benzoperylene"	Mus musculus	244	407812,218100,9671,80326,55112,64601,105375355,90249,55787,55000,90139,81628,103964,22074,135892,54209,163590,63923,7113,29766,123591,54664,146456,23423,7042,7033,157695,9882,6876,6872,94120,83851,6854,55342,338596,6430,9295,10250,100101806,10418,6683,389058,25928,6636,128439,25992,8773,389015,6528,6521,80736,5172,65012,319800,26266,54847,79729,166929,10110,6425,6423,238393,223117,10483,89866,6344,6328,256380,83597,57035,284654,91543,140032,54913,116832,5997,11317,5935,29890,158158,5728,5645,5644,51450,381832,80243,10891,5408,5407,201164,8394,5288,63895,5126,80003,54604,9060,25891,5019,728361,29991,8650,4925,81788,10412,51299,9572,10528,4820,4783,4781,4703,90634,4597,8897,8195,4256,4247,10873,4194,90411,17071,51747,164312,79782,4038,4016,64211,3934,84648,16622,3816,126695,10984,54207,10008,3704,22876,83444,3624,150084,76933,122509,8870,3419,3382,8692,10808,3312,3223,84376,3024,3087,8916,15002,14999,14961,27357,157,2823,2852,10223,55204,2661,9518,25801,8522,2556,8323,53827,2521,2330,8468,14133,10160,54537,84141,2104,83715,27248,57669,3301,9988,11083,1655,1628,13108,627860,1543,114757,1524,78617,79848,58487,286204,8532,57699,1369,10814,50509,1277,1303,152189,81037,25932,1179,1154,64377,1101,234673,8824,60680,1031,1026,53841,20305,886,387856,12353,12350,735,721,388125,145741,717,114898,10380,168620,79370,593,10317,9048,57636,55082,361,187,8862,312,501,155,283383,91,58,36,
"C449673"	"1,1,4-tris(acetyloxy)-2-nonene"	Mus musculus	4	2941,842,841,836,
"C534880"	"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane"	Mus musculus	7	7099,7054,6531,4929,3552,6347,834,
"C552530"	"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane"	Mus musculus	2	7054,6531,
"C545255"	"1,1-bis(3'-indolyl)-1-(p-anisyl)methane"	Mus musculus	3	7054,6531,3552,
"C003552"	"11-dehydrocorticosterone"	Mus musculus	1	3290,
"C084012"	"1,1-diethyl-2-hydroxy-2-nitrosohydrazine"	Mus musculus	2	2876,348,
"C432747"	"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC"	Mus musculus	18	7423,7422,7124,7075,4192,5595,5594,3791,3593,3586,3399,3162,3091,1490,1277,1269,285,2015,
"C547593"	"1-(1H-indol-3-yl)-3-(3H-indol-3-ylidene)propan-2-one"	Mus musculus	1	196,
"C561619"	"1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea"	Mus musculus	7	7494,2081,2053,1965,9451,836,22926,
"C020443"	"11-oxo-delta(8)-tetrahydrocannabinol"	Mus musculus	1	13095,
"C402363"	"1-(1-propynyl)pyrene"	Mus musculus	2	1543,196,
"C530925"	"1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea"	Mus musculus	5	7442,7124,6750,3553,3586,
"C046839"	"1,2,3,4,6,7,8-heptachlorodibenzodioxin"	Mus musculus	2	1543,196,
"C473650"	"1,2,3,4,6,7,8-heptachlorodibenzofuran"	Mus musculus	1	196,
"C051412"	"1,2,3,4,7,8-hexachlorodibenzofuran"	Mus musculus	4	2908,1956,1543,196,
"C063159"	"1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole"	Mus musculus	4	7225,10398,3952,627,
"C014843"	"1,2,3,4-tetrahydroisoquinoline"	Mus musculus	1	196,
"C046838"	"1,2,3,6,7,8-hexachlorodibenzodioxin"	Mus musculus	2	1543,196,
"C057584"	"1,2,3,7,8-pentachlorodibenzofuran"	Mus musculus	2	1544,1543,
"C051452"	"1,2,3,7,8-pentachlorodibenzo-p-dioxin"	Mus musculus	6	3567,1545,1544,1543,374,196,
"C504897"	"12-(3-adamantan-1-ylureido)dodecanoic acid"	Mus musculus	2	2053,183,
